epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,11330.6,0.60652,1.20511,0.40951,0.95711,0.86928,0.70522,0.76857,0.54547,0.84699,0.68967,0.7352,0.48452,1.02539,2.35708,0.93857,1.33167,0.000610789,0.000610789,0.000610789
34,11673.6,0.5922,1.19276,0.39779,0.95323,0.96055,0.66136,0.762,0.54943,0.9338,0.65037,0.75112,0.50186,1.05161,2.34256,0.98722,1.37773,0.000577782,0.000577782,0.000577782
35,12016.7,0.59427,1.18203,0.40155,0.95302,0.95751,0.66998,0.76201,0.5665,0.8034,0.74143,0.7513,0.49937,0.97904,2.25139,0.91743,1.32253,0.000544776,0.000544776,0.000544776
36,12359.8,0.5871,1.18341,0.39679,0.94739,0.85611,0.73885,0.78051,0.56876,0.83391,0.72775,0.76337,0.49419,0.96835,2.30977,0.86163,1.29264,0.000511769,0.000511769,0.000511769
37,12702.7,0.58294,1.17571,0.3906,0.94698,0.83415,0.74713,0.78551,0.58295,0.80091,0.72149,0.75182,0.51166,0.95333,2.26192,0.92256,1.27816,0.000478762,0.000478762,0.000478762
38,13045.9,0.57729,1.16234,0.38502,0.94375,0.89187,0.7254,0.78989,0.57386,0.8609,0.69975,0.75401,0.51418,0.96407,2.27245,0.89746,1.28454,0.000445756,0.000445756,0.000445756
39,13388.9,0.56534,1.15245,0.38179,0.94013,0.8895,0.70484,0.78246,0.56049,0.86679,0.68788,0.75978,0.50267,0.99193,2.29464,0.92935,1.28116,0.000412749,0.000412749,0.000412749
40,13731.8,0.56165,1.13601,0.37503,0.93911,0.80285,0.75645,0.77269,0.553,0.79491,0.7485,0.75036,0.4971,1.00356,2.33814,0.92906,1.31542,0.000379743,0.000379743,0.000379743
41,14070.4,0.4843,0.99501,0.31414,0.90361,0.85023,0.71706,0.77331,0.54184,0.83876,0.70866,0.74692,0.49072,1.03118,2.33598,0.96725,1.34777,0.000346736,0.000346736,0.000346736
42,14407.8,0.46567,0.97718,0.3041,0.89222,0.82221,0.74916,0.78987,0.57013,0.81379,0.74147,0.75807,0.50915,1.01188,2.33801,1.05033,1.35279,0.000313729,0.000313729,0.000313729
43,14745.5,0.45423,0.96106,0.29585,0.88695,0.87233,0.69115,0.7772,0.55791,0.84666,0.67582,0.73782,0.49197,0.9881,2.35945,0.95626,1.3289,0.000280723,0.000280723,0.000280723
44,15083.2,0.44334,0.93974,0.28849,0.88428,0.851,0.71176,0.77262,0.54948,0.83702,0.70425,0.75042,0.49266,0.9849,2.40324,0.97116,1.32226,0.000247716,0.000247716,0.000247716
45,15420.8,0.43487,0.92525,0.28056,0.87844,0.86841,0.73886,0.79514,0.56997,0.84725,0.72184,0.76903,0.51172,1.03648,2.34496,0.94979,1.39706,0.00021471,0.00021471,0.00021471
46,15758.3,0.42448,0.91722,0.27631,0.8773,0.88739,0.69358,0.77373,0.55224,0.86513,0.67656,0.74986,0.51091,0.98315,2.32437,0.99184,1.31653,0.000181703,0.000181703,0.000181703
47,16096.2,0.4162,0.90508,0.26944,0.86876,0.86929,0.6982,0.77201,0.55685,0.84725,0.68133,0.7434,0.50574,0.9899,2.38258,1.03023,1.32187,0.000148696,0.000148696,0.000148696
48,16433.7,0.41189,0.90473,0.26758,0.87101,0.85976,0.71461,0.76939,0.5576,0.83881,0.69785,0.74891,0.50118,1.01575,2.36122,1.00137,1.37745,0.00011569,0.00011569,0.00011569
49,16771.4,0.39964,0.88141,0.25864,0.86679,0.8496,0.70896,0.77157,0.56042,0.82796,0.69204,0.75178,0.50678,0.99372,2.35534,0.98835,1.35054,8.26832e-05,8.26832e-05,8.26832e-05
50,17109.2,0.39905,0.88085,0.25764,0.86479,0.84823,0.70345,0.77002,0.5603,0.82688,0.68643,0.75045,0.50829,1.01356,2.36477,1.04885,1.35205,4.96766e-05,4.96766e-05,4.96766e-05
